,Agent_Home_Class_Name,Agent_Home_Class_Name_medium_related_medium_patents,Agent_Home_Class_Name_unrelated,Name,Name_medium_related_medium_patents,Name_unrelated,Agent_ID,Agent_ID_medium_related_medium_patents,Agent_ID_unrelated,Agent_Number_of_Patents_in_Class,Agent_Number_of_Patents_in_Class_medium_related_medium_patents,Agent_Number_of_Patents_in_Class_unrelated,Agent_Home_Class_IPC4,Agent_Home_Class_IPC4_medium_related_medium_patents,Agent_Home_Class_IPC4_unrelated,Relatedness,Relatedness_medium_related_medium_patents,Relatedness_unrelated,Application_Year,Application_Year_medium_related_medium_patents,Application_Year_unrelated
88672,Medical Preparations,Carbon Reaction Compounds,Analyzing Materials,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,PATRICK F JONAS,111792.0,148768.0,307709.0,9.0,2.0,0.0,A61K,C08F,G01N,0.9375,0.5,0.0,1992,,
88673,Medical Preparations,Carbon Reaction Compounds,Natural Compound Derivatives,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,WILLIAM FRISTAD,111792.0,148768.0,308860.0,9.0,2.0,0.0,A61K,C08F,C08H,0.9375,0.5,0.125,1992,,
88674,Medical Preparations,Carbon Reaction Compounds,Electrography,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,TAKASHI YODOSHI,111792.0,148768.0,322546.0,9.0,2.0,0.0,A61K,C08F,G03G,0.9375,0.5,0.1875,1992,,
88675,Medical Preparations,Carbon Reaction Compounds,Optical Systems,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,VAIKUNTH SITARAM PRABHU,111792.0,148768.0,337554.0,9.0,2.0,0.0,A61K,C08F,G02B,0.9375,0.5,0.0,1992,,
88676,Medical Preparations,Carbon Reaction Compounds,Separation,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,THOMAS W STAMBAUGH,111792.0,148768.0,338743.0,9.0,2.0,0.0,A61K,C08F,B01D,0.9375,0.5,0.0,1992,,
88677,Medical Preparations,Carbon Reaction Compounds,Enzyme Compounds,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,TOSHIYUKI UMEHARA,111792.0,148768.0,345675.0,9.0,2.0,0.0,A61K,C08F,C12N,0.9375,0.5,0.1875,1992,,
88678,Medical Preparations,Carbon Reaction Compounds,Medical Implants/Bandages,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,JAI P SINGH,111792.0,148768.0,346477.0,9.0,2.0,0.0,A61K,C08F,A61F,0.9375,0.5,0.0,1992,,
88679,Medical Preparations,Carbon Reaction Compounds,Macromolecular Compositions,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,LILIANA GILA,111792.0,148768.0,349740.0,9.0,2.0,0.0,A61K,C08F,C08L,0.9375,0.5,0.125,1992,,
88680,Medical Preparations,Carbon Reaction Compounds,Static Storage,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,HARALD KELLER,111792.0,148768.0,364325.0,9.0,2.0,0.0,A61K,C08F,G11C,0.9375,0.5,0.0,1992,,
88681,Medical Preparations,Carbon Reaction Compounds,Photomechanical Process,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,NAGESHWER RAO BANTU,111792.0,148768.0,436808.0,9.0,2.0,0.0,A61K,C08F,G03F,0.9375,0.5,0.0,1992,,
88682,Medical Preparations,Carbon Reaction Compounds,Non-Metallic Elements,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,PAUL MICHAEL BEVER,111792.0,148768.0,652057.0,9.0,2.0,0.0,A61K,C08F,C01B,0.9375,0.5,0.1875,1992,,
88683,Medical Preparations,Carbon Reaction Compounds,Weaving,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,SEYMOUR PORTNOY,111792.0,261603.0,137135.0,9.0,2.0,0.0,A61K,C08F,D03D,0.9375,0.5,0.0625,1992,,
88684,Medical Preparations,Carbon Reaction Compounds,Rare-Earth Metal Compounds,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,YEHUDA KEREN,111792.0,261603.0,170617.0,9.0,2.0,0.0,A61K,C08F,C01F,0.9375,0.5,0.0625,1992,,
88685,Medical Preparations,Carbon Reaction Compounds,Filling Containers,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,EUGENE L HOLLOWAY,111792.0,261603.0,206392.0,9.0,2.0,0.0,A61K,C08F,B67C,0.9375,0.5,0.0,1992,,
88686,Medical Preparations,Carbon Reaction Compounds,Analyzing Materials,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,JOEL M BLATT,111792.0,261603.0,228844.0,9.0,2.0,0.0,A61K,C08F,G01N,0.9375,0.5,0.0,1992,,
88687,Medical Preparations,Carbon Reaction Compounds,Optics,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,YASUSHI MORI,111792.0,261603.0,255025.0,9.0,2.0,0.0,A61K,C08F,G02F,0.9375,0.5,0.1875,1992,,
88688,Medical Preparations,Carbon Reaction Compounds,Traffic Control Systems,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,HIROAKI MATSUNO,111792.0,261603.0,267420.0,9.0,2.0,0.0,A61K,C08F,G08G,0.9375,0.5,0.0,1992,,
88689,Medical Preparations,Carbon Reaction Compounds,Enzyme Compounds,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,I LAWRENCE GREENFIELD,111792.0,261603.0,269608.0,9.0,2.0,0.0,A61K,C08F,C12N,0.9375,0.5,0.1875,1992,,
88690,Medical Preparations,Carbon Reaction Compounds,Separation,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,FREDERICK DANA CAZER,111792.0,261603.0,301091.0,9.0,2.0,0.0,A61K,C08F,B01D,0.9375,0.5,0.0,1992,,
88691,Medical Preparations,Carbon Reaction Compounds,Separation,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,BARRY L SCOTT,111792.0,261603.0,301092.0,9.0,2.0,0.0,A61K,C08F,B01D,0.9375,0.5,0.0,1992,,
88692,Medical Preparations,Carbon Reaction Compounds,Analyzing Materials,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,ELEFTHERIOS DIAMANDIS,111792.0,261603.0,305063.0,9.0,2.0,0.0,A61K,C08F,G01N,0.9375,0.5,0.0,1992,,
88693,Medical Preparations,Carbon Reaction Compounds,Analyzing Materials,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,PATRICK F JONAS,111792.0,261603.0,307709.0,9.0,2.0,0.0,A61K,C08F,G01N,0.9375,0.5,0.0,1992,,
88694,Medical Preparations,Carbon Reaction Compounds,Natural Compound Derivatives,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,WILLIAM FRISTAD,111792.0,261603.0,308860.0,9.0,2.0,0.0,A61K,C08F,C08H,0.9375,0.5,0.125,1992,,
88695,Medical Preparations,Carbon Reaction Compounds,Electrography,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,TAKASHI YODOSHI,111792.0,261603.0,322546.0,9.0,2.0,0.0,A61K,C08F,G03G,0.9375,0.5,0.1875,1992,,
88696,Medical Preparations,Carbon Reaction Compounds,Optical Systems,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,VAIKUNTH SITARAM PRABHU,111792.0,261603.0,337554.0,9.0,2.0,0.0,A61K,C08F,G02B,0.9375,0.5,0.0,1992,,
88697,Medical Preparations,Carbon Reaction Compounds,Separation,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,THOMAS W STAMBAUGH,111792.0,261603.0,338743.0,9.0,2.0,0.0,A61K,C08F,B01D,0.9375,0.5,0.0,1992,,
88698,Medical Preparations,Carbon Reaction Compounds,Enzyme Compounds,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,TOSHIYUKI UMEHARA,111792.0,261603.0,345675.0,9.0,2.0,0.0,A61K,C08F,C12N,0.9375,0.5,0.1875,1992,,
88699,Medical Preparations,Carbon Reaction Compounds,Medical Implants/Bandages,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,JAI P SINGH,111792.0,261603.0,346477.0,9.0,2.0,0.0,A61K,C08F,A61F,0.9375,0.5,0.0,1992,,
88700,Medical Preparations,Carbon Reaction Compounds,Macromolecular Compositions,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,LILIANA GILA,111792.0,261603.0,349740.0,9.0,2.0,0.0,A61K,C08F,C08L,0.9375,0.5,0.125,1992,,
88701,Medical Preparations,Carbon Reaction Compounds,Static Storage,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,HARALD KELLER,111792.0,261603.0,364325.0,9.0,2.0,0.0,A61K,C08F,G11C,0.9375,0.5,0.0,1992,,
88702,Medical Preparations,Carbon Reaction Compounds,Photomechanical Process,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,NAGESHWER RAO BANTU,111792.0,261603.0,436808.0,9.0,2.0,0.0,A61K,C08F,G03F,0.9375,0.5,0.0,1992,,
88703,Medical Preparations,Carbon Reaction Compounds,Non-Metallic Elements,CYRUS JOHN OHNMACHT,H JAMES HARWOOD,PAUL MICHAEL BEVER,111792.0,261603.0,652057.0,9.0,2.0,0.0,A61K,C08F,C01B,0.9375,0.5,0.1875,1992,,
88704,Medical Preparations,Other Materials,Weaving,CYRUS JOHN OHNMACHT,SHOJI TODA,SEYMOUR PORTNOY,111792.0,312915.0,137135.0,9.0,2.0,0.0,A61K,C09K,D03D,0.9375,0.4375,0.0625,1992,,
88705,Medical Preparations,Other Materials,Rare-Earth Metal Compounds,CYRUS JOHN OHNMACHT,SHOJI TODA,YEHUDA KEREN,111792.0,312915.0,170617.0,9.0,2.0,0.0,A61K,C09K,C01F,0.9375,0.4375,0.0625,1992,,
88706,Medical Preparations,Other Materials,Filling Containers,CYRUS JOHN OHNMACHT,SHOJI TODA,EUGENE L HOLLOWAY,111792.0,312915.0,206392.0,9.0,2.0,0.0,A61K,C09K,B67C,0.9375,0.4375,0.0,1992,,
88707,Medical Preparations,Other Materials,Analyzing Materials,CYRUS JOHN OHNMACHT,SHOJI TODA,JOEL M BLATT,111792.0,312915.0,228844.0,9.0,2.0,0.0,A61K,C09K,G01N,0.9375,0.4375,0.0,1992,,
88708,Medical Preparations,Other Materials,Optics,CYRUS JOHN OHNMACHT,SHOJI TODA,YASUSHI MORI,111792.0,312915.0,255025.0,9.0,2.0,0.0,A61K,C09K,G02F,0.9375,0.4375,0.1875,1992,,
88709,Medical Preparations,Other Materials,Traffic Control Systems,CYRUS JOHN OHNMACHT,SHOJI TODA,HIROAKI MATSUNO,111792.0,312915.0,267420.0,9.0,2.0,0.0,A61K,C09K,G08G,0.9375,0.4375,0.0,1992,,
88710,Medical Preparations,Other Materials,Enzyme Compounds,CYRUS JOHN OHNMACHT,SHOJI TODA,I LAWRENCE GREENFIELD,111792.0,312915.0,269608.0,9.0,2.0,0.0,A61K,C09K,C12N,0.9375,0.4375,0.1875,1992,,
88711,Medical Preparations,Other Materials,Separation,CYRUS JOHN OHNMACHT,SHOJI TODA,FREDERICK DANA CAZER,111792.0,312915.0,301091.0,9.0,2.0,0.0,A61K,C09K,B01D,0.9375,0.4375,0.0,1992,,
88712,Medical Preparations,Other Materials,Separation,CYRUS JOHN OHNMACHT,SHOJI TODA,BARRY L SCOTT,111792.0,312915.0,301092.0,9.0,2.0,0.0,A61K,C09K,B01D,0.9375,0.4375,0.0,1992,,
88713,Medical Preparations,Other Materials,Analyzing Materials,CYRUS JOHN OHNMACHT,SHOJI TODA,ELEFTHERIOS DIAMANDIS,111792.0,312915.0,305063.0,9.0,2.0,0.0,A61K,C09K,G01N,0.9375,0.4375,0.0,1992,,
88714,Medical Preparations,Other Materials,Analyzing Materials,CYRUS JOHN OHNMACHT,SHOJI TODA,PATRICK F JONAS,111792.0,312915.0,307709.0,9.0,2.0,0.0,A61K,C09K,G01N,0.9375,0.4375,0.0,1992,,
88715,Medical Preparations,Other Materials,Natural Compound Derivatives,CYRUS JOHN OHNMACHT,SHOJI TODA,WILLIAM FRISTAD,111792.0,312915.0,308860.0,9.0,2.0,0.0,A61K,C09K,C08H,0.9375,0.4375,0.125,1992,,
88716,Medical Preparations,Other Materials,Electrography,CYRUS JOHN OHNMACHT,SHOJI TODA,TAKASHI YODOSHI,111792.0,312915.0,322546.0,9.0,2.0,0.0,A61K,C09K,G03G,0.9375,0.4375,0.1875,1992,,
88717,Medical Preparations,Other Materials,Optical Systems,CYRUS JOHN OHNMACHT,SHOJI TODA,VAIKUNTH SITARAM PRABHU,111792.0,312915.0,337554.0,9.0,2.0,0.0,A61K,C09K,G02B,0.9375,0.4375,0.0,1992,,
88718,Medical Preparations,Other Materials,Separation,CYRUS JOHN OHNMACHT,SHOJI TODA,THOMAS W STAMBAUGH,111792.0,312915.0,338743.0,9.0,2.0,0.0,A61K,C09K,B01D,0.9375,0.4375,0.0,1992,,
88719,Medical Preparations,Other Materials,Enzyme Compounds,CYRUS JOHN OHNMACHT,SHOJI TODA,TOSHIYUKI UMEHARA,111792.0,312915.0,345675.0,9.0,2.0,0.0,A61K,C09K,C12N,0.9375,0.4375,0.1875,1992,,
88720,Medical Preparations,Other Materials,Medical Implants/Bandages,CYRUS JOHN OHNMACHT,SHOJI TODA,JAI P SINGH,111792.0,312915.0,346477.0,9.0,2.0,0.0,A61K,C09K,A61F,0.9375,0.4375,0.0,1992,,
88721,Medical Preparations,Other Materials,Macromolecular Compositions,CYRUS JOHN OHNMACHT,SHOJI TODA,LILIANA GILA,111792.0,312915.0,349740.0,9.0,2.0,0.0,A61K,C09K,C08L,0.9375,0.4375,0.125,1992,,
88722,Medical Preparations,Other Materials,Static Storage,CYRUS JOHN OHNMACHT,SHOJI TODA,HARALD KELLER,111792.0,312915.0,364325.0,9.0,2.0,0.0,A61K,C09K,G11C,0.9375,0.4375,0.0,1992,,
88723,Medical Preparations,Other Materials,Photomechanical Process,CYRUS JOHN OHNMACHT,SHOJI TODA,NAGESHWER RAO BANTU,111792.0,312915.0,436808.0,9.0,2.0,0.0,A61K,C09K,G03F,0.9375,0.4375,0.0,1992,,
88724,Medical Preparations,Other Materials,Non-Metallic Elements,CYRUS JOHN OHNMACHT,SHOJI TODA,PAUL MICHAEL BEVER,111792.0,312915.0,652057.0,9.0,2.0,0.0,A61K,C09K,C01B,0.9375,0.4375,0.1875,1992,,
88725,Medical Preparations,Other Materials,Weaving,CYRUS JOHN OHNMACHT,TAKESHI TANI,SEYMOUR PORTNOY,111792.0,312916.0,137135.0,9.0,2.0,0.0,A61K,C09K,D03D,0.9375,0.4375,0.0625,1992,,
88726,Medical Preparations,Other Materials,Rare-Earth Metal Compounds,CYRUS JOHN OHNMACHT,TAKESHI TANI,YEHUDA KEREN,111792.0,312916.0,170617.0,9.0,2.0,0.0,A61K,C09K,C01F,0.9375,0.4375,0.0625,1992,,
88727,Medical Preparations,Other Materials,Filling Containers,CYRUS JOHN OHNMACHT,TAKESHI TANI,EUGENE L HOLLOWAY,111792.0,312916.0,206392.0,9.0,2.0,0.0,A61K,C09K,B67C,0.9375,0.4375,0.0,1992,,
88728,Medical Preparations,Other Materials,Analyzing Materials,CYRUS JOHN OHNMACHT,TAKESHI TANI,JOEL M BLATT,111792.0,312916.0,228844.0,9.0,2.0,0.0,A61K,C09K,G01N,0.9375,0.4375,0.0,1992,,
88729,Medical Preparations,Other Materials,Optics,CYRUS JOHN OHNMACHT,TAKESHI TANI,YASUSHI MORI,111792.0,312916.0,255025.0,9.0,2.0,0.0,A61K,C09K,G02F,0.9375,0.4375,0.1875,1992,,
88730,Medical Preparations,Other Materials,Traffic Control Systems,CYRUS JOHN OHNMACHT,TAKESHI TANI,HIROAKI MATSUNO,111792.0,312916.0,267420.0,9.0,2.0,0.0,A61K,C09K,G08G,0.9375,0.4375,0.0,1992,,
88731,Medical Preparations,Other Materials,Enzyme Compounds,CYRUS JOHN OHNMACHT,TAKESHI TANI,I LAWRENCE GREENFIELD,111792.0,312916.0,269608.0,9.0,2.0,0.0,A61K,C09K,C12N,0.9375,0.4375,0.1875,1992,,
88732,Medical Preparations,Other Materials,Separation,CYRUS JOHN OHNMACHT,TAKESHI TANI,FREDERICK DANA CAZER,111792.0,312916.0,301091.0,9.0,2.0,0.0,A61K,C09K,B01D,0.9375,0.4375,0.0,1992,,
88733,Medical Preparations,Other Materials,Separation,CYRUS JOHN OHNMACHT,TAKESHI TANI,BARRY L SCOTT,111792.0,312916.0,301092.0,9.0,2.0,0.0,A61K,C09K,B01D,0.9375,0.4375,0.0,1992,,
88734,Medical Preparations,Other Materials,Analyzing Materials,CYRUS JOHN OHNMACHT,TAKESHI TANI,ELEFTHERIOS DIAMANDIS,111792.0,312916.0,305063.0,9.0,2.0,0.0,A61K,C09K,G01N,0.9375,0.4375,0.0,1992,,
88735,Medical Preparations,Other Materials,Analyzing Materials,CYRUS JOHN OHNMACHT,TAKESHI TANI,PATRICK F JONAS,111792.0,312916.0,307709.0,9.0,2.0,0.0,A61K,C09K,G01N,0.9375,0.4375,0.0,1992,,
88736,Medical Preparations,Other Materials,Natural Compound Derivatives,CYRUS JOHN OHNMACHT,TAKESHI TANI,WILLIAM FRISTAD,111792.0,312916.0,308860.0,9.0,2.0,0.0,A61K,C09K,C08H,0.9375,0.4375,0.125,1992,,
88737,Medical Preparations,Other Materials,Electrography,CYRUS JOHN OHNMACHT,TAKESHI TANI,TAKASHI YODOSHI,111792.0,312916.0,322546.0,9.0,2.0,0.0,A61K,C09K,G03G,0.9375,0.4375,0.1875,1992,,
88738,Medical Preparations,Other Materials,Optical Systems,CYRUS JOHN OHNMACHT,TAKESHI TANI,VAIKUNTH SITARAM PRABHU,111792.0,312916.0,337554.0,9.0,2.0,0.0,A61K,C09K,G02B,0.9375,0.4375,0.0,1992,,
88739,Medical Preparations,Other Materials,Separation,CYRUS JOHN OHNMACHT,TAKESHI TANI,THOMAS W STAMBAUGH,111792.0,312916.0,338743.0,9.0,2.0,0.0,A61K,C09K,B01D,0.9375,0.4375,0.0,1992,,
88740,Medical Preparations,Other Materials,Enzyme Compounds,CYRUS JOHN OHNMACHT,TAKESHI TANI,TOSHIYUKI UMEHARA,111792.0,312916.0,345675.0,9.0,2.0,0.0,A61K,C09K,C12N,0.9375,0.4375,0.1875,1992,,
88741,Medical Preparations,Other Materials,Medical Implants/Bandages,CYRUS JOHN OHNMACHT,TAKESHI TANI,JAI P SINGH,111792.0,312916.0,346477.0,9.0,2.0,0.0,A61K,C09K,A61F,0.9375,0.4375,0.0,1992,,
88742,Medical Preparations,Other Materials,Macromolecular Compositions,CYRUS JOHN OHNMACHT,TAKESHI TANI,LILIANA GILA,111792.0,312916.0,349740.0,9.0,2.0,0.0,A61K,C09K,C08L,0.9375,0.4375,0.125,1992,,
88743,Medical Preparations,Other Materials,Static Storage,CYRUS JOHN OHNMACHT,TAKESHI TANI,HARALD KELLER,111792.0,312916.0,364325.0,9.0,2.0,0.0,A61K,C09K,G11C,0.9375,0.4375,0.0,1992,,
88744,Medical Preparations,Other Materials,Photomechanical Process,CYRUS JOHN OHNMACHT,TAKESHI TANI,NAGESHWER RAO BANTU,111792.0,312916.0,436808.0,9.0,2.0,0.0,A61K,C09K,G03F,0.9375,0.4375,0.0,1992,,
88745,Medical Preparations,Other Materials,Non-Metallic Elements,CYRUS JOHN OHNMACHT,TAKESHI TANI,PAUL MICHAEL BEVER,111792.0,312916.0,652057.0,9.0,2.0,0.0,A61K,C09K,C01B,0.9375,0.4375,0.1875,1992,,
88746,Medical Preparations,Polysaccharides,Weaving,CYRUS JOHN OHNMACHT,YVES QUENEAU,SEYMOUR PORTNOY,111792.0,323464.0,137135.0,9.0,2.0,0.0,A61K,C08B,D03D,0.9375,0.25,0.0625,1992,,
88747,Medical Preparations,Polysaccharides,Rare-Earth Metal Compounds,CYRUS JOHN OHNMACHT,YVES QUENEAU,YEHUDA KEREN,111792.0,323464.0,170617.0,9.0,2.0,0.0,A61K,C08B,C01F,0.9375,0.25,0.0625,1992,,
88748,Medical Preparations,Polysaccharides,Filling Containers,CYRUS JOHN OHNMACHT,YVES QUENEAU,EUGENE L HOLLOWAY,111792.0,323464.0,206392.0,9.0,2.0,0.0,A61K,C08B,B67C,0.9375,0.25,0.0,1992,,
88749,Medical Preparations,Polysaccharides,Analyzing Materials,CYRUS JOHN OHNMACHT,YVES QUENEAU,JOEL M BLATT,111792.0,323464.0,228844.0,9.0,2.0,0.0,A61K,C08B,G01N,0.9375,0.25,0.0,1992,,
88750,Medical Preparations,Polysaccharides,Optics,CYRUS JOHN OHNMACHT,YVES QUENEAU,YASUSHI MORI,111792.0,323464.0,255025.0,9.0,2.0,0.0,A61K,C08B,G02F,0.9375,0.25,0.1875,1992,,
88751,Medical Preparations,Polysaccharides,Traffic Control Systems,CYRUS JOHN OHNMACHT,YVES QUENEAU,HIROAKI MATSUNO,111792.0,323464.0,267420.0,9.0,2.0,0.0,A61K,C08B,G08G,0.9375,0.25,0.0,1992,,
88752,Medical Preparations,Polysaccharides,Enzyme Compounds,CYRUS JOHN OHNMACHT,YVES QUENEAU,I LAWRENCE GREENFIELD,111792.0,323464.0,269608.0,9.0,2.0,0.0,A61K,C08B,C12N,0.9375,0.25,0.1875,1992,,
88753,Medical Preparations,Polysaccharides,Separation,CYRUS JOHN OHNMACHT,YVES QUENEAU,FREDERICK DANA CAZER,111792.0,323464.0,301091.0,9.0,2.0,0.0,A61K,C08B,B01D,0.9375,0.25,0.0,1992,,
88754,Medical Preparations,Polysaccharides,Separation,CYRUS JOHN OHNMACHT,YVES QUENEAU,BARRY L SCOTT,111792.0,323464.0,301092.0,9.0,2.0,0.0,A61K,C08B,B01D,0.9375,0.25,0.0,1992,,
88755,Medical Preparations,Polysaccharides,Analyzing Materials,CYRUS JOHN OHNMACHT,YVES QUENEAU,ELEFTHERIOS DIAMANDIS,111792.0,323464.0,305063.0,9.0,2.0,0.0,A61K,C08B,G01N,0.9375,0.25,0.0,1992,,
88756,Medical Preparations,Polysaccharides,Analyzing Materials,CYRUS JOHN OHNMACHT,YVES QUENEAU,PATRICK F JONAS,111792.0,323464.0,307709.0,9.0,2.0,0.0,A61K,C08B,G01N,0.9375,0.25,0.0,1992,,
88757,Medical Preparations,Polysaccharides,Natural Compound Derivatives,CYRUS JOHN OHNMACHT,YVES QUENEAU,WILLIAM FRISTAD,111792.0,323464.0,308860.0,9.0,2.0,0.0,A61K,C08B,C08H,0.9375,0.25,0.125,1992,,
88758,Medical Preparations,Polysaccharides,Electrography,CYRUS JOHN OHNMACHT,YVES QUENEAU,TAKASHI YODOSHI,111792.0,323464.0,322546.0,9.0,2.0,0.0,A61K,C08B,G03G,0.9375,0.25,0.1875,1992,,
88759,Medical Preparations,Polysaccharides,Optical Systems,CYRUS JOHN OHNMACHT,YVES QUENEAU,VAIKUNTH SITARAM PRABHU,111792.0,323464.0,337554.0,9.0,2.0,0.0,A61K,C08B,G02B,0.9375,0.25,0.0,1992,,
88760,Medical Preparations,Polysaccharides,Separation,CYRUS JOHN OHNMACHT,YVES QUENEAU,THOMAS W STAMBAUGH,111792.0,323464.0,338743.0,9.0,2.0,0.0,A61K,C08B,B01D,0.9375,0.25,0.0,1992,,
88761,Medical Preparations,Polysaccharides,Enzyme Compounds,CYRUS JOHN OHNMACHT,YVES QUENEAU,TOSHIYUKI UMEHARA,111792.0,323464.0,345675.0,9.0,2.0,0.0,A61K,C08B,C12N,0.9375,0.25,0.1875,1992,,
88762,Medical Preparations,Polysaccharides,Medical Implants/Bandages,CYRUS JOHN OHNMACHT,YVES QUENEAU,JAI P SINGH,111792.0,323464.0,346477.0,9.0,2.0,0.0,A61K,C08B,A61F,0.9375,0.25,0.0,1992,,
88763,Medical Preparations,Polysaccharides,Macromolecular Compositions,CYRUS JOHN OHNMACHT,YVES QUENEAU,LILIANA GILA,111792.0,323464.0,349740.0,9.0,2.0,0.0,A61K,C08B,C08L,0.9375,0.25,0.125,1992,,
88764,Medical Preparations,Polysaccharides,Static Storage,CYRUS JOHN OHNMACHT,YVES QUENEAU,HARALD KELLER,111792.0,323464.0,364325.0,9.0,2.0,0.0,A61K,C08B,G11C,0.9375,0.25,0.0,1992,,
88765,Medical Preparations,Polysaccharides,Photomechanical Process,CYRUS JOHN OHNMACHT,YVES QUENEAU,NAGESHWER RAO BANTU,111792.0,323464.0,436808.0,9.0,2.0,0.0,A61K,C08B,G03F,0.9375,0.25,0.0,1992,,
